Title,PID,file,First-broadcast,Presenter,Production,Producer,Description,Archive-details
The World's Well,b0090g57,,24/2/2008,Mike Wooldridge,,,The World's Well: Mike Wooldridge explores health and well-being in a world increasingly divided by economic inequality and increasingly united by accessible information.,
Theatre in Worship,b0134xvj,,14/8/2011,Mark Tully,Unique,Frank Stirling,"In 'Theatre in Worship', Mark Tully investigates the role theatre and performance can take in acts of worship and examines the arguments both for and against theatricality in religious ceremony and ritual.<br/><br/>From the Puritan movement of the seventeenth century to the extravagance of baroque ecclesiastical architecture, from the vibrancy of religious festival and the popularity of religious theatre and dance to the single-minded pursuit of spiritual simplicity, performance in religion has often been controversial.<br/><br/>This edition of 'Something Understood' looks at some of the reasons for this with the help of theologian and writer Theo Hobson and the work of seventeenth century poet George Herbert, nineteenth century novelist Stendhal and twentieth century playwright Anthony Minghella. The music is by Spanish bagpiper Hevia and Japanese composer Toshi Tsuchitori.<br/><br/>The readers are Kenneth Cranham and Isla Blair",
There's No Place Like Home,b092jvrg,TRUE,3/9/2017,Shoshana Boyd Gelfand,TBI,Max O'Brien,"Rabbi Shoshana Boyd Gelfand examines our relationship with the shifting notion of home and the importance of home to her Jewish faith and other religious traditions.<br/><br/>Shoshana reveals that she's always been fascinated by precisely what it is that we call home and how our homes inform our identities. She discusses the use within the Jewish home of the Mizrach - a piece of art that hangs on a wall allowing the inhabitants to orient themselves towards Jerusalem. She explains that this orientation to a spiritual home is a kind of internal map, ""a way of positioning ourselves so that we feel rooted wherever we may be"".<br/><br/>Exploring the concept of ""returning home"" in a musical sense, in which a composer skilfully resolves a chord sequence in a way that sounds uniquely satisfying and conclusive, Shoshana draws upon the music of Chopin and Schumann. These pieces sit along musical celebrations of the home from Crosby, Stills and Nash, bluesman Blind Willie McTell and Simon and Garfunkel.<br/><br/>Shoshana describes the centrality of the home to the Jews, whose rituals are mostly performed at home rather than at the synagogue, before concluding that, for her, home is ultimately defined by the people she holds dear rather than any one fixed location.",
This is My Body,b00jlvr8,,12/4/2009,Mark Tully,,,"With guest Father Timothy Radcliffe, Mark Tully explores the physical, emotional, legal and spiritual meaning of Jesus' words at the Last Supper.",
This Is My Vigil,b01np0zy,TRUE,4/11/2012,Mark Tully,Loftus,Jo Coombs,"There are many different types of vigils; from waiting at the bedside of a loved one who is ill or dying, to peacefully praying for peace in a conflict. Sometimes we choose to keep vigils, but sometimes they are thrust upon us - like waiting for someone to return from being in danger. In this edition of Something Understood, Mark Tully asks why people hold and participate in vigils.<br/><br/>Mark Tully speaks to Dr Shelia Cassidy, who believes that vigil is part of the very fabric of life. Her own life has been full of vigil. We hear about her most important personal experience, when she was in jail in Chile and threatened with execution or life imprisonment. That night she stayed awake, arguing with God. She explains how, in this personal vigil, she tried to abandon herself to the will of God - like Jacob wrestling with the angel.<br/><br/>A pioneer of the hospice movement and of palliative medicine, Dr Sheila Cassidy has also helped many people to keep vigil as they die. She explains that she has learned we all have to keep vigils during our lives.<br/><br/>Sheila also sees prayer in general as a type of vigil; it's a time to leave one's mind open to whatever comes, and to wait for God.<br/><br/>With readings from Rabindranath Tagore on patience and Christopher Reid on the vigil he held at his dying wife's bedside, and music from John Tavener and Joan Baez, Mark Tully explores what role hopeful ""watching and waiting"" can play in our lives.<br/><br/>The readers are Gareth Armstrong, Emily Bevan and Simon Tcherniak.",
Thoughts in Pictures,,,16/2/2003,Frances Fyfield,Loftus,Matt Thompson,"Like all authors, crime writer Frances Fyfield has a panoply of strategies for putting off the dreaded writing. She likes to while away the time staring at the pictures on the walls in her house and making up stories. This leads her to question what exactly art is for.",
Through a Glass Darkly,b08skrxf,TRUE,4/6/2017,Michael Symmons Roberts,TBI,Michael Wakelin,"The poet Michael Symmons Roberts looks in to the mirror for insight and revelation, reckoning and resolution and discovers the beguiling world through the looking glass.<br/><br/>Central to his thoughts are the famous words of St Paul from 1 Corinthians 13 - ""For now we see through a glass, darkly; but then face to face: now I know in part; but then shall I know even as also I am known,"" - which tantalisingly suggest that what we see now is only a partial vision of reality. In this world, a glimpse is all we get.<br/><br/>""Many parents will remember the time,"" Michael says, ""usually around 18 months old, when a child first recognises that the baby in the mirror is not a sudden visitor. It's you!"" This moment of self recognition (only shared with four kinds of ape, Asian elephants, bottlenose dolphins and, perhaps surprisingly, magpies) allows us all into the unsettling mixture of bare fact and mystery that confronts us in the mirror. Michael explains that, ""The truth offered by such surfaces is fugitive, deceptive, elusive.""<br/><br/>Through the music of Icelandic singer Bjork, Michael Jackson, Roxanna Panufnik and Philip Glass, and the poetry of George Herbert, Denise Levertov, John Ashbery and Carolyn Kizer, Michael takes us through the looking glass to a wonderland of paradox and possibilities. He says, ""The reflective surfaces of glass or water offer visions of a different world, potentially treacherous or unknown, but a world you can enter physically if you dive into the lake, or visually if you allow your gaze to pass through it.""",
Tigerish Waters,b05v6ght,,17/5/2015,John McCarthy,Whistledown,Natalie Steed,"John McCarthy considers the way that we can accommodate ambiguity and complexity.<br/><br/>The title of the programme comes from Louis MacNeice's poem ""Entirely"" which explores the way in which it is never possible to be ""entirely"" sure, or to have fully grasped a meaning, or to fully be in a moment.<br/><br/>Take a walk in an urban woodland: you can seek and find a sense of solitude whilst always being aware of the busy-ness around you and be aware, simultaneously, of the beauty of birdsong and the trundle of road traffic beyond the gates.<br/><br/>We hear from poets and writers who have explored not getting things ""entirely"" and found a kind of pleasure and peace in that acceptance. There are readings from Louise MacNeice, Kathleen Jamie and Michael Longley, and an interview with Tom Bolton who writes about London's secret rivers and lost neighbourhoods. The music is by You Are Wolf (Kerry Andrew), Toru Takemitsu, Kraftwerk and Elton John.<br/><br/>The readers are Peter Marinker, Sirine Saba and Joe Armstrong.",
Time Has Told Me,b00ym9fk,,20/2/2011,Fergal Keane,Unique,Ronni Davis,"Fergal Keane reflects on the importance of real life experience - wisdom gained not from books but from the world.<br/><br/>Like Shakespeare's Cleopatra, who remembers her salad days as a time when I was green in judgment, cold in blood, lack of life experience can cause us to rush in where angels fear to tread. Or where a more mature person might hesitate. Which is the better weapon for life?<br/><br/>Fergal will draw on the work of W.B. Yeates, Fleur Adcock and the Indian writer Radhika Jha to explore this notion.<br/><br/>The readers are Liza Sadovy and Aiden Mcardle.",
Tiny Survivals,b00tndgz,TRUE,12/9/2010,Llewelyn Morgan,Falling Tree,Katie Burningham,"Classicist Llewelyn Morgan has a knack for piecing together the past through disparate objects and fragmented bits of information. So when he stumbled across an old Russian samovar in his grandmother's attic, he was compelled to track down its owner by trawling through the thousands of names and places that appear in the census.<br/><br/>In this edition of Something Understood, Llewelyn Morgan recounts his search to identify the samovar's owner and explores how objects that seem to tell us little when taken at face value can in fact reveal a rich and vivid picture of the past.<br/><br/>With a contribution from the late Flemish philosopher Jaap Kruithof (courtesy of VRT), readings from John Donne, Keith Douglas and Lionel Shriver and music by Maurice Ravel, Alfred Schnittke and Fridge.<br/><br/>Readers: Adjoa Andoh and Jonathan Keeble",
To Change or Not to Change,b00b42hr,,4/5/2008,Mark Tully,,,To Change or Not to Change: Mark Tully asks how we can strike a creative balance between staying true to our essential nature and adapting to new needs and circumstances.,
To Fashion,b01gnhrt,,29/4/2012,Irma Kurtz,Unique,Ronni Davis,"In 'To Fashion' Irma Kurtz explores the notion that the garments we wear are a costume of choice. Once beyond the nursery, modesty orders us to cloak our skins, and sometimes our heads and faces too. To wear strategic covering in public is required practically everywhere by law as well as modesty. But we dress for more reasons than modesty and protection. The garments we choose are our costume, and sometimes a uniform, too. What we wear displays if not precisely where we originate and who we are, certainly who we wish we were and want to be seen as being.<br/><br/>To illustrate this theme we hear readings from Robert Herrick, Sebastian Horsley and P.G. Wodehouse. The music is by Sergei Prokoviev, Irving Berlin, George and Ira Gershwin and Paul Durand. The readers are Liza Sadovy, Col Farrell and Frank Stirling.",
Together Alone,b00f5jbv,,2/11/2008,Kenneth Steven,,,The Scottish poet Kenneth Steven reflects on how solitude refreshes the human spirit.,
Tomorrow,b00dq91l,,5/10/2008,Llewelyn Morgan,,,"Classicist Llewelyn Morgan explores how different attitudes towards tomorrow reflect the way in which we deal with our fear of the unknown. With readings from Derek Mahon, Simonides and Graham Swift, and music by Vaughan Williams, Townes Van Zandt and Richard Strauss.",
Touch,b03mckq8,TRUE,29/12/2013,Marie-Louise Muir,Falling Tree,Alan Hall,"Northern Irish arts journalist and broadcaster Marie-Louise Muir draws on her own experiences as a mother to reflect on the significance and value of human touch.<br/><br/>With reference to the writings of Bernard MacLaverty, Thom Gunn and Sinead Morrissey and music by Imogen Heap, William Walton and Nina Simone.<br/><br/>Readers: Cecilia Fage, Jonathan Keeble, Bernard MacLaverty",
"Touch Me, Touch Me Not",b01946p3,,8/1/2012,Mark Tully,Unique,Adam Fowler,"Mark Tully considers our sense of touch and how we take it for granted. Somehow our other senses seem more active, even more important to us. We might fear the loss of our sight, or our hearing, but seldom do we worry about losing the ability to touch. But how would we cope without being able to feel anything through our skin? Or, indeed, how would we function if we could not feel our limbs? Tully relates the case of Ian Waterman who had to face life without the sense of touch when he lost all sensation below the neck at the age of nineteen.<br/><br/>He also looks at different cultural attitudes to touch, from the reserved Anglo-Saxon handshake to the more ""touchy-feely"" ways of greeting in Latin countries. What do our ways of touching, or not touching, say about us?<br/><br/>The programme also considers the notion of inappropriate touch, but at the same time explores the dangers of avoiding touch for fear of being accused of wrong-doing. Tully quotes from author, Judy Rigby, who maintains: ""All too often, when we hear about touch, it's in the context of pornography, abuse and violence ... we are afraid of touching because our actions might be misinterpreted. Hence children are deprived of appropriate touch at a very early age. Our response has been analogous to that of a person, who having eaten some bad food, decides that the best course of action in the future is not to eat at all, rather than ensuring what is eaten is healthy.""<br/><br/>With poetry from John Betjemen and Michael Ondaatje; and music from Irving Berlin, John Dowland and Rachmaninov, Mark Tully wonders at the seeming simplicity of touch, but its power to transmit and transform. And he celebrates the fact that we need to go on touching if we are to go on caring.",
Towards a New Consciousness,b01qdpcy,,3/2/2013,Mark Tully,Unique,Adam Fowler,"Mark Tully explores how a new way of thinking about spirituality might change our attitude to the environment. By looking at modern and historical ideas about the relationship between the cosmos and God, he encounters an emerging theology which brings science and religion together, and claims to make possible a new level of consciousness.<br/><br/>He discovers how this ecological spirituality might have profound ethical implications for us as we struggle to develop ways of protecting our planet. The programme also considers how this green theology might reconcile both the sacred and scientific stories of evolution.<br/><br/>Drawing from a diverse selection of music, from Gustav Holst to Joni Mitchell, and readings from Margaret Atwood and the Indian philosopher Sri Aurobindo, Mark Tully describes the development of a theology and philosophy that hopes to meet the challenges posed by the crisis our natural world faces.",
Tradition and Reform,b00dy9y5,,19/10/2008,Mark Tully,,,"Mark Tully considers how tensions between traditionalists and reformers are played out in all the main faith traditions. He talks to Rabbi Miriam Berger about a new, gender-inclusive, Jewish prayer book and hears how she hopes that the new prayers will allow people to reconsider their concept of God.",
Trains,b00zq9tb,TRUE,27/3/2011,Mark Tully,Loftus,Elizabeth Burke,"'Trains are made for meditation', John Betjeman wrote, celebrating slow travel back in 1940. He was only one of many poets, writers and musicians who have found inspiration in rail travel. Hypnotised by the rhythm of the train, they find a freedom to think and to dream, inspired by the unfolding landscape outside.<br/><br/>Mark Tully chooses the best train poetry and music and talks to the Chaplain of St Pancras Station, Jonathan Barker, about his work on the station. With music by Glenn Miller, Anton Dvorak, Villa Lobos and Baron Samedi.",
Transfiguration,,,6/8/1995,Mark Tully,Unique,,"Mark Tully explores a spiritual theme, taking today's Feast of the Transfiguration as a starting point.",
Transformation,b03g8d5y,,3/11/2013,Mark Tully,Unique,Adam Fowler,"Mark Tully draws on Russian music and folk stories to ask why the age-old theme of transformation continues to hold such fascination for us.<br/><br/>He begins with a prince forced to marry a frog who, not surprisingly, turns into a beautiful princess before changing once more, this time into a swan which flies off leaving the prince distraught. Of course things work out just fine for the prince in the end, and Mark suggests that one reason we are constantly intrigued by the possibility of transformation is simply that we yearn for a change for the better.<br/><br/>Whether personal, religious or political, the attraction and the dangers of transformation are explored through the music of Tchaikovsky, Stravinsky, Mahler and Marley - as well as readings from Alexander Afanasyev, Dietrich Bonhoeffer, Edmund Spenser and Carol Ann Duffy.<br/><br/>True to the archetypal story of transformation, the programme ends happily ever after. But will our presenter will turn into a handsome prince?",
Transience,b03zxmyc,TRUE,6/4/2014,Samira Ahmed,Whistledown,Anthony Denselow,"How should we deal with the idea of transience - in our daily lives and in the natural world around us?<br/><br/>Should the fact that everything and everybody we hold dear (including ourselves) is impermanent and passing worry us? Or should we ignore the idea of transience and get along without considering the constant turmoil of change in both the mundane world of the everyday and in the wider cosmos?<br/><br/>Samira Ahmed explores the role of transience in our lives. She looks at the various ways in which transience pops up beyond the obvious cycles of birth, death and short-lived lives. She considers the understanding of science and examines the transience of memory and its play within the rapidly achieved stages of life.<br/><br/>Samira also looks at the effects of transience on the world we have constructed so solidly around us - describing the transience of a city she has got to know well, Berlin, as it undergoes yet another transformation.<br/><br/>And how central is an appreciation of transience to any spiritual understanding? She looks at both the Christian and Hindu traditions to see how they express ideas of impermanence. With music, poetry, and extracts from key thinkers on the subject throughout history, she considers how we might best cope with this potentially distressing reality.",
Translation,b00sf1v2,TRUE,23/5/2010,Mark Tully,Loftus,Elizabeth Burke,"Mark Tully presents a programme on the theme of translation to mark Pentecost, when Jesus' disciples spoke in different tongues.<br/><br/>He talks to Bible translator Father Nicholas King about the process of translating the New Testament: what is the most impossible passage? Does it matter if people find spiritual inspiration from texts which are actually mis-translations?<br/><br/>The programme includes poems and thoughts on translation by Keats, A.S.Byatt, Eva Hoffman, Vesna Goldsworthy and Kei Miller. The music comes from Allegri, John Tavener, JS Bach, and Ella Fitzgerald - ""Let's Call the Whole Thing Off"".",
Translation,b04bmd39,,27/7/2014,Mark Tully,Unique,Adam Fowler,"Mark Tully negotiates the challenges, pitfalls and delights of translating ideas, emotions and even music, into different languages, cultures and forms of expression.<br/><br/>In literature, he draws from the writing of Salman Rushdie who regards himself as having been translated from India to the English-speaking world: a physical translation which greatly affects his literary translations of Indian themes.<br/><br/>In music, Mark plays variations on, or musical translations of, Paganini's Caprice 24 by artists as diverse as Benny Goodman and Sergei Rachmaninov.<br/><br/>And in poetry he borrows the wisdom of Rainer Maria Rilke who said ""Translation is the purest procedure by which poetic skill can be realised""; and of Ted Hughes who wrote that bringing poets together, in translation, gives us hope that the various nations of the world will eventually, ""make a working synthesis of their ferocious contradictions"".<br/><br/>The readers are Polly Frame, John McAndrew and Frank Stirling.",
Trauma of Religion,b05xwb3v,,14/6/2015,Mark Tully,Unique,,"Mark Tully considers the drawbacks of an overly strict religious upbringing. What are the pressures on those who stay within dogmatic religions in later life?<br/><br/>While acknowledging the potential for good in religions, the programme includes accounts from those who feel traumatised by childhoods in which freedom of thought was restricted, and those who have carried a sense of unworthiness into later life.<br/><br/>Mark also identifies the narrow line religious parents have to tread between encouraging children to share their faith and imposing it upon them.<br/><br/>But for all that a religious upbringing can traumatise, Mark also recognises the great loss that can be felt when escaping a past which engendered not just fear, guilt and a sense of shame, but provided an early source of meaning, connection and strength.",
Travel,,,24/3/1996,Peter Hobday,Unique,,Writer Lawrence Durrell believed that travel was one of the most rewarding forms of introspection. Peter Hobday considers the rewards and insights a journey can bring.,
Trees,,,14/4/1996,Mark Tully,Unique,,Trees have always been a rich source of religious imagery. Mark Tully examines this fascination and love for one of nature's most long-lasting creations.,
Trial and Error,b0bbn6lx,TRUE,22/7/2018,Malcolm Doney,TBI,Jonathan O'Sullivan,"Writer and priest Malcolm Doney examines the process of trial and error. He believes it's at the very root of how we find out about the world, how we mature, form relationships, and develop philosophies and religious beliefs.<br/><br/>Although some theologians from different traditions disagree on its meaning, it can be argued that the spirit of experimentation can be seen in the biblical book of Genesis when Adam and Eve taste the forbidden fruit.<br/><br/>Malcolm also considers the process of trial and error in the arts, examining the experimental work of artists, writers and musicians like the composer Terry Reily. These artists push the barriers in their work and appear to be driven by the need to discover something new.<br/><br/>Trial and error is also at the very heart of the scientific method, a process which originated in the 17th Century. Malcolm observes that testing must be rigorous, a belief held by one of the fathers of the scientific method, Ibd al-Haythem, who said, ""man must make himself an enemy of all that he reads, and attack it from every side."" Malcolm notes that, while proof is hard to come by in maths and science, it’s even less obvious in the areas of philosophy, spirituality and religion.<br/><br/>Malcolm deduces that living experimentally is an exercise in faith. There is research, calculation, observation - and, out of all that, a theory is formed. He concludes that when people practice trial and error in their own lives it has to be something they have faith in - otherwise why would they invest their energy?",
True North,b008m3gp,,6/1/2008,Mark Tully,,,True North: Mark Tully explores the claim that the deepest craving in the human spirit is for knowledge of the right direction.,
Truth,b08rp2sk,TRUE,28/5/2017,Mark Tully,7digital,Adam Fowler,"As the UK election approaches, Mark Tully seeks truth in a post-truth world. He considers how to recognise what is true among a cacophony of conjecture and, in the company of author Howard Jacobson, how fiction might lead us to truth. They agree that we live in times when the search for truth is particularly important - but more difficult than ever.<br/><br/>With help from the words of Mahatma Gandhi, Emily Dickinson, Joseph Goebbels and Lewis Carroll, Mark examines just how slippery the concept of truth can be, and how an untruth told often enough, with enough conviction, can become credible.<br/><br/>Or, as that great believer in manufactured truth, Humpty Dumpty, would have it, ""when I use a word it means just what I choose it to mean.""",
Truth Lies Somewhere,b007xhsg,,2/9/2007,Mark Tully,,,Truth Lies Somewhere: With Mark Tully. Can there be such a thing as absolute truth or is the concept always relative?,
Turmoil and Tranquility,m001tb69,TRUE,4/9/2005,Mark Tully,,Eley McAinsh,"Mark Tully considers the most fertile conditions for creativity - in the arts, in nature and in the spiritual life. He talks to Karen Armstrong about why creativity cannot be hurried, but why it can sometimes require a backdrop of chaos and turmoil, and sometimes silence and solitude.",
Twilight Time,,,7/9/2003,Mark Tully,Loftus,Nigel Acheson,Mark Tully considers how the fading light of day influences our thoughts and mood. Including a conversation with Indian artist Anjolie Ela Menon.,
Unbending Belief,m001rgq3,TRUE,2/7/2006,Mike Wooldridge,Unique,,"Mike Wooldridge asks what drives fundamentalism and rigid religious orthodoxy and what is the essential connection between unbending belief and behaviour? Do fundamentalists in all traditions have more in common with each other, than they do with liberals and reformers in their own communities?",
Uncertainty,b0b5qn14,TRUE,10/6/2018,Harvey Belovski,TBI,Michael Wakelin,"Rabbi Harvey Belovski goes back to his childhood and remembers the nervous boy who had an aversion to uncertainty - something that continued to trouble him well into adulthood.<br/><br/>Harvey explains that, when he was young, he was taken with the certainty shown by Abraham in the story of the Binding of Issac, where his total faith in God led him to the brink of sacrificing his son. According to Harvey, ""we are always left in awe, or horror, that Abraham seemed to experience no doubt that he was doing the right thing.""<br/><br/>Later, Harvey found another interpretation of the story in the writings of a Polish rabbi known as the Ishbitzer, who suggests that Abraham was being tested to see if he could embrace uncertainty - did God want Abraham to sacrifice Isaac or would Isaac become the father of a great nation? Abraham simply couldn't know, yet he was required to accept the doubt.<br/><br/>""This might seem trivial,"" Harvey says, ""but it changed my world forever...I began to see doubt and complexity less as enemies to be eliminated, but as central features of a meaningful life.""<br/><br/>Through traditional Jewish music and the compositions of Mozart and Chopin, he leads us on his journey from discomfort to mature acceptance that uncertainty is something to be embraced.",
Understanding Prayer,b00mj7s4,,13/9/2009,Mark Tully,,,"Mark Tully talks to the Archbishop of Canterbury, Dr Rowan Williams, about his personal understanding of prayer, once described by the poet George Herbert as 'something understood'.<br/><br/>The readers are Frank Stirling and David Westhead.",
Unity and peace,,,21/1/1996,Denis Tuohy,Unique,,"To mark the Week of Prayer for Christian Unity, Denis Tuohy considers what makes for unity and peace between peoples, faiths and nations.",
Unknown Bards,,,13/3/1995,,,Pam Fraser Solomon,"A new spiritual anthology. Unknown Bards, read by Eve Karpf,Colin McFarlane, Jack Klaff and Dona Croll.",
Up in Flames,b03tr7hh,TRUE,9/2/2014,Samira Ahmed,Whistledown,Caroline Hughes,"Fire is one of the most savage forces on Earth, yet burning something can also offer the hope of purging and rebirth. We might use fire therapeutically to burn love letters from a failed relationship, or to clear the decks for the start of a new year. Burning can be very liberating.<br/><br/>Samira Ahmed reflects on our ambiguous relationship with fire. She looks at the way nature uses fire to play a crucial part in natural regeneration and at the scared fires central to many faiths.<br/><br/>Erich Kästner, author of 'Emil and the Detectives', witnessed his own books being burned by the Nazis in 1930s Berlin. Samira Ahmed talks to Michael Rosen about the significance of this event. She also explores the scientific properties of fire with Dr Matthew Juniper of the University of Cambridge.<br/><br/>Featuring music by Sibelius, Jim Reeves and Kurt Weill and with words of writers including W.B. Yeats, Simon Armitage and Germaine Greer.",
Vanishing Point,b02y0wkx,TRUE,23/6/2013,Jude Rogers,Falling Tree,Eleanor McDowall,"Writer and broadcaster Jude Rogers explores the desire to run away and disappear. From tumbling down the rabbit hole to riding a train to nowhere, why do we sometimes feel the urge to vanish?<br/><br/>Jude reflects on how removing yourself from the world of other people can offer a certain type of freedom.<br/><br/>Featuring music by Grouper, Radiohead and Tindersticks, alongside the words of Virginia Woolf, D.H. Lawrence and John Updike.",
View from Above,b00b0dxf,,27/4/2008,Felicity Finch,,,View from Above: Felicity Finch reflects on how the space above us and the heights we strive to reach can affect how we perceive our earthbound lives below.,
Voices of Brass,b00vv5p6,TRUE,14/11/2010,Mark Tully,Unique,Frank Stirling,What is it in the sound of brass that appeals to our emotions so viscerally? And how it has become the chosen accompaniment to military life? From the walls of Jericho to the last Trump and from Reveille to the Last Post- a programme for Remembrance Sunday.<br/><br/>Mark himself played the Tuba and this music has always fascinated him. He talks to members of the Minden Band of the Queen's Own regiment about their experiences playing for troops near the front line in Afghanistan and looks at the enduring emotional appeal of a huge variety of band music,
Volunteer Vision,b00lj987,,12/7/2009,Mike Wooldridge,,,"Mike Wooldridge celebrates the role of the volunteer in the company of Glyn Roberts, whose own voluntary organisation has sent over two million reconditioned tools to help poor craftsmen and women in Africa and Asia to help themselves.",
Waiting for the Barbarians,m001ry2w,TRUE,30/10/2005,Mark Tully,,,Mark Tully draws on CP Cavafy’s famous poem Waiting for the Barbarians. He asks if Cavafy was right to suggest that every culture and community needs a sense of The Barbarian outside the gate in order to give meaning to its sense of identity and civilisation.,
Waiting in Emptiness,b007lrww,,27/5/2007,Mark Tully,,,Waiting in Emptiness: Mark Tully asks why emptiness is regarded as such a high ideal in spiritual teachings when it is normally associated with feelings of hopelessness and despair.,
Walking a Mile in Another Man's Shoes,b02116yv,,2/6/2013,Mark Tully,Unique,Frank Stirling,"As the old saying has it, ""Before you judge a man, you must walk a mile in his shoes"".<br/><br/>At a time when some claim divisions in society to be widening, Mark Tully examines the place of empathy in politics, religion, medicine, popular culture and the arts. He tries to establish the difference between empathy, pity and compassion and consults the works of thinkers and writers - ranging from Jain Mystic Shrimad Rajchandra to T.S. Eliot and comic poet Shel Silverstein.<br/><br/>Mark also talks to veteran politician Tony Benn about the importance of developing empathy in political life and plays music by Mozart, Mark Campbell and the Bhutanese monk, Lama Gyurme.<br/><br/>The readers are Harriet Walter and Tim Pigott-Smith.",
Walking and the Mind,b03m3kqr,TRUE,22/12/2013,John McCarthy,Whistledown,Anthony Denselow,"John McCarthy explores the effects of walking on the mind - on our creative and spiritual well-being.<br/><br/>We all know that a good walk is physically good for us, but we rarely stop to consider its impact on our mental states. Was Friedrich Nietzsche right when he said, ""all truly great thoughts are conceived by walking""?<br/><br/>Walking, especially walking in countryside, has been important to many creative artists and writers. Beethoven, Erik Satie and Benjamin Britten all used their daily walks for inspiration, as did William Wordsworth as he tramped the paths of the Lake District with his sister Dorothy.<br/><br/>John McCarthy looks at the act of walking as inspiration and also considers its spiritual function. Why do so many people, from a wide variety of religious beliefs, walk to display their devotion and increase their spiritual understanding? Around the world, millions set out each year along the great pilgrimage routes, and often travel on foot.<br/><br/>John McCarthy talks to the British artist Richard Long, whose work often describes walks he has undertaken or imagined. He also talks to Colin Thubron - one of our finest writers about discovery and place - who recently made the arduous journey on foot around Mount Kailash in Tibet, sacred to both Hindus and Buddhists.",
Walking Backwards to God,b015msnv,,9/10/2011,Mark Tully,Unique,Frank Stirling,"""We advance to the truth by experience of error; we succeed through failures - we walk to heaven backward."" The words of Cardinal Newman, academic and leader of the Oxford Movement, provide the starting point for this edition of Something Understood, in which Mark Tully asks how best we should learn from our mistakes.<br/><br/>""Make a mistake learn from it and move on"" is common advice, but what does that actually mean? When do we stop making mistakes - and should we be actively trying to make them? Newman's assertion is tested in conversation with the writer Canon Stephen Cherry from Durham Cathedral and with the help of literary work by Robbie Burns and James Fenton and musical works by Frank Loesser, Shirley MacLaine and the Choir of Kings College, Cambridge.<br/><br/>The readers are Adjoa Andoh and Alistair McGowan.",
Walls,b08k19gl,TRUE,26/3/2017,Michael Symmons Roberts,TBI,Michael Wakelin,"Michael Symmons Roberts asks whether walls are a liability or asset. ""They come with such metaphorical power,"" he says as he reflects on their role in music and poetry.<br/><br/>Walls tend to be seen as divisive and things only get better when they have been knocked down - the destruction of the Berlin Wall symbolised the end of the Cold War and inspired a generation. But Michael contends that walls and partitions are not all bad. They make good neighbours according to Robert Frost, they can be beautiful when decorated and people have even been known to marry them.<br/><br/>According to Michael Roberts, separated by our walls, we are mysterious to each other, infuriating, frightening, enticing. Poets and filmmakers and novelists make great dramatic use of them to explore how we can be proximate and separate at the same time, and the tensions and mysteries that can create.<br/><br/>Through the music of David Bowie and Bach, the poetry of Stevie Smith and Laura Kasischke, Michael finds many contrasts in our attitude to walls and concludes that their role is paradoxical. As Simone Weil explains, ""The world is the closed door. It is a barrier. And at the same time it is the way through...Every separation is a link.""",
Warrior Women,m000362j,TRUE,10/3/2019,Remona Aly,TBI,Sera Baker,"Warrior-hood has long been associated with masculinity, but Remona Aly explores the female warriors throughout history who show that greatness, courage and valour also belong to the domain of women.<br /> <br />She rediscovers the stories of the Celtic warrior queen Boudicca, Umm ‘Amara who fought to protect Prophet Muhammed until she was 60, Mai Bhago who became bodyguard to the 10th Guru of the Sikhs, and Noor Inayat Khan - the first female Muslim to serve as a secret agent in the Second World War.<br /> <br />Remona also interviews Sergeant Wazeeha Laher, an intelligence analyst for the RAF, learning how the role of warrior continues to be redefined to incorporate women. And she explores depictions of warrior women in fiction and popular culture, looking at the battle cries of Beyonce, Dr Who’s first female regeneration, the children’s cartoon Burqa Avenger and the all-female Dora Milaje tribe from the box office hit Black Panther.<br /> <br />Throughout, Remona works to redefine warrior-hood, showing this fighting spirit is not only found in men in the midst of warfare, but in the resilience of a mother in labour, in the fight of a shero against misogyny, and in the very essence of womanhood.",
Watching the River Flow,b0848m18,TRUE,4/12/2016,John McCarthy,TBI,Max O'Brien,"John McCarthy explores the therapeutic benefits of watching the river flow and assesses the spiritual significance of rivers as sites of ritual and prayer.<br/><br/>The power of rivers to cleanse not just the body but the soul too is a common religious theme. John examines the baptism of Jesus and the centrality of the River Ganges to the Hindus.<br/><br/>John marvels at a river's ability to detach us from the hectic world around us and from the churning of inner thoughts and concerns. He notes that, when staring into the water, even a monolithic city building becomes broken up into a collage of dancing reflected shapes, at once beautiful and emotionally manageable.<br/><br/>Rivers are constantly moving, alive almost, forever changing and developing. Like us, they are on a journey - perhaps, John wonders, that's why it's easy to see something of our own lives in theirs.<br/><br/>In order to tell his story, John draws upon the music of Johnny Flynn and Laura Marling, Bassekou Kouyaté and Ngoni Ba, and Joni Mitchell. Readings include historian Peter Ackroyd's homage to the Thames, Robert Southey's stunning poetic depiction of the Ganges and Mary Kienholz poetic reminder that, like all great rivers, the Columbia River is a wild and untamed beast at heart.",
